Provider,Bot,Version,Input Points(1k tokens),Output Points(1k tokens),Introduction
OpenAI,https://poe.com/GPT-5-nano,gpt-5-nano-2025-08-07,,,"GPT-5 nano is an extremely fast and cheap model, ideal for text/vision summarization/categorization tasks. Supports native vision and 400k input tokens of context. Provides a 90% chat history cache discount."
OpenAI,https://poe.com/GPT-5.1,gpt-5.1,,,"OpenAI's flagship general‑purpose model, built for advanced reasoning, comprehension, and creativity. It delivers robust performance across text and code, with significant improvements in factual accuracy, long‑context understanding, and multilingual fluency. Ideal for research, content creation, analysis, and problem‑solving in any domain. Supports 400k of input context window."
OpenAI,https://poe.com/GPT-5.1-Codex,gpt-5.1-codex,,,"GPT‑5.1‑Codex extends GPT‑5.1's capabilities for software development. It understands complex codebases, provides accurate completions, explains algorithms, and assists with debugging across modern programming languages. Designed for developers, it elevates productivity and supports full‑stack coding workflows with precision. Supports 400k tokens of input context."
OpenAI,https://poe.com/GPT-5.1-Codex-Mini,gpt-5.1-codex-mini,,,"GPT‑5.1‑Codex‑Mini is a lightweight, fast, and efficient code‑generation model derived from GPT‑5.1‑Codex. It's optimized for quick iterations, smaller environments, and edge applications—offering strong coding assistance with lower computational cost while maintaining accuracy and utility. Supports 400k tokens of input context."
OpenAI,https://poe.com/GPT-5.1-Instant,gpt-5.1-chat-latest,,,"OpenAI's most flagship model optimized for conversational intelligence. It excels at natural dialogue, contextual memory, and adaptive tone, making it perfect for interactive agents, tutoring, and customer support. It balances speed, reliability, and empathy for seamless real‑time communication. Supports 128k tokens of input context."
OpenAI,https://poe.com/o3-deep-research,o3-deep-research-2025-06-26,,,"Deep Research from OpenAI powered by the o3 model, can search through extensive web information to answer complex, nuanced research questions in various domains such as finance, consulting, and science. Research queries that take longer than 10 minutes (600 seconds) will error out and compute points will be refunded after 2 hours."
OpenAI,https://poe.com/o3-mini,o3-mini-2025-01-31,,,"o3-mini is OpenAI's reasoning model, providing high intelligence on a variety of tasks and domains, including science, math, and coding. This bot uses medium reasoning effort by default but low, medium \u0026 high can be selected; supports 200k tokens of input context and 100k tokens of output context."
OpenAI,https://poe.com/o3-mini-high,o3-mini-2025-01-31,,,"o3-mini-high is OpenAI's most recent reasoning model with reasoning_effort set to high, providing frontier intelligence on most tasks. Like other models in the o-series, it is designed to excel at science, math, and coding tasks. Supports 200k tokens of input context and 100k tokens of output context."
OpenAI,https://poe.com/o3-pro,o3-pro-2025-06-10,,,"o3-pro is a well-rounded and powerful model across domains, with more capability than https://poe.com/o3 at the cost of higher price and lower speed. It is especially capable at math, science, coding, visual reasoning tasks, technical writing, and instruction-following. Use it to think through multi-step problems that involve analysis across text, code, and images."
OpenAI,https://poe.com/o4-mini,o4-mini-2025-04-16,,,"o4-mini provides high intelligence on a variety of tasks and domains, including science, math, and coding at an affordable price point. This bot uses medium reasoning effort by low, medium \u0026 high are also selectable; supports 200k tokens of input context and 100k tokens of output context."
OpenAI,https://poe.com/o4-mini-deep-research,o4-mini-deep-research-2025-06-26,,,"Deep Research from OpenAI powered by the o4-mini model, can search through extensive web information to answer complex, nuanced research questions in various domains such as finance, consulting, and science. Research queries that take longer than 10 minutes (600 seconds) will error out and compute points will be refunded after 2 hours."
